0.0000000	-0.1392143	0.4648518
0.0400000	-0.1354332	0.4597716
0.0800000	-0.1318070	0.4538055
0.1200000	-0.1270520	0.4478595
0.1600000	-0.1223819	0.4415530
0.2000000	-0.1173931	0.4342670
0.2400000	-0.1120433	0.4268291
0.2800000	-0.1059840	0.4189936
0.3200000	-0.0999111	0.4110471
0.3600000	-0.0934637	0.4022380
0.4000000	-0.0863479	0.3935016
0.4400000	-0.0791378	0.3839652
0.4800000	-0.0712528	0.3740641
0.5200000	-0.0626497	0.3639767
0.5600000	-0.0543526	0.3535188
0.6000000	-0.0441580	0.3430255
0.6400000	-0.0347892	0.3322899
0.6800000	-0.0242106	0.3211696
0.7200000	-0.0137821	0.3091297
0.7600000	-0.0018352	0.2977075
0.8000000	0.0100955	0.2854926
0.8400000	0.0226620	0.2735439
0.8800000	0.0349801	0.2607219
0.9200000	0.0485605	0.2484529
0.9600000	0.0623855	0.2351568
1.0000000	0.0769821	0.2227031
1.0400000	0.0916114	0.2097211
1.0800000	0.1075249	0.1971675
1.1200000	0.1235357	0.1840097
1.1600000	0.1405204	0.1717395
1.2000000	0.1580220	0.1590676
1.2400000	0.1763182	0.1473390
1.2800000	0.1949823	0.1357038
1.3200000	0.2145738	0.1243212
1.3600000	0.2341404	0.1137378
1.4000000	0.2551521	0.1030188
1.4400000	0.2767004	0.0934064
1.4800000	0.2986592	0.0846113
1.5200000	0.3212575	0.0763280
1.5600000	0.3444791	0.0693589
1.6000000	0.3677659	0.0632770
1.6400000	0.3916014	0.0578030
1.6800000	0.4158292	0.0530812
1.7200000	0.4400603	0.0502293
1.7600000	0.4646104	0.0477548
1.8000000	0.4892202	0.0464072
1.8400000	0.5138488	0.0461564
1.8800000	0.5379880	0.0475700
1.9200000	0.5625217	0.0496336
1.9600000	0.5861837	0.0536214
2.0000000	0.6107729	0.0573595
2.0400000	0.6342432	0.0622280
2.0800000	0.6574521	0.0679052
2.1200000	0.6803759	0.0747031
2.1600000	0.7025052	0.0818321
2.2000000	0.7239997	0.0897438
2.2400000	0.7445390	0.0979965
2.2800000	0.7644807	0.1072591
2.3200000	0.7839770	0.1176359
2.3600000	0.8034208	0.1271770
2.4000000	0.8218087	0.1372369
2.4400000	0.8395840	0.1484590
2.4800000	0.8568424	0.1595230
2.5200000	0.8732682	0.1701490
2.5600000	0.8887170	0.1825004
2.6000000	0.9039809	0.1933588
2.6400000	0.9180711	0.2058484
2.6800000	0.9324403	0.2170437
2.7200000	0.9454975	0.2290037
2.7600000	0.9584553	0.2405874
2.8000000	0.9706345	0.2528161
2.8400000	0.9818121	0.2638732
2.8800000	0.9931101	0.2751490
2.9200000	1.0035478	0.2856163
2.9600000	1.0126952	0.2967377
3.0000000	1.0218783	0.3074292
3.0400000	1.0312526	0.3178624
3.0800000	1.0391807	0.3280996
3.1200000	1.0477917	0.3373850
3.1600000	1.0548639	0.3467369
3.2000000	1.0623030	0.3555183
3.2400000	1.0685043	0.3640316
3.2800000	1.0746710	0.3715680
3.3200000	1.0800560	0.3800859
3.3600000	1.0855883	0.3872841
3.4000000	1.0902813	0.3942881
3.4400000	1.0955299	0.4009058
3.4800000	1.0998812	0.4071470
3.5200000	1.1042488	0.4122193
3.5600000	1.1079308	0.4170366
3.6000000	1.1112126	0.4216121
3.6400000	1.1139768	0.4265578
3.6800000	1.1164298	0.4301850
3.7200000	1.1191302	0.4331737
3.7600000	1.1213517	0.4353241
3.8000000	1.1224552	0.4376082
3.8400000	1.1238924	0.4390540
3.8800000	1.1244532	0.4408409
3.9200000	1.1247976	0.4410978
3.9600000	1.1252144	0.4414855
4.0000000	1.1248592	0.4410425
4.0400000	1.1250423	0.4401863
4.0800000	1.1239854	0.4390550
4.1200000	1.1230127	0.4370031
4.1600000	1.1215466	0.4341867
4.2000000	1.1191998	0.4317017
4.2400000	1.1174194	0.4275384
4.2800000	1.1155075	0.4235313
4.3200000	1.1117392	0.4194275
4.3600000	1.1082139	0.4145706
4.4000000	1.1041724	0.4091951
4.4400000	1.1004300	0.4031112
4.4800000	1.0959347	0.3964137
4.5200000	1.0905715	0.3896469
4.5600000	1.0853464	0.3819915
4.6000000	1.0798945	0.3743887
4.6400000	1.0728497	0.3667123
4.6800000	1.0659582	0.3577483
4.7200000	1.0590197	0.3487230
4.7600000	1.0513092	0.3393097
4.8000000	1.0432842	0.3299558
4.8400000	1.0342279	0.3198283
4.8800000	1.0256049	0.3090906
4.9200000	1.0155754	0.2985766
4.9600000	1.0056850	0.2879832
5.0000000	0.9950411	0.2768355
5.0400000	0.9837187	0.2655969
5.0800000	0.9727896	0.2537805
5.1200000	0.9603792	0.2426898
5.1600000	0.9475432	0.2318401
5.2000000	0.9339225	0.2196136
5.2400000	0.9200535	0.2080337
5.2800000	0.9054239	0.1969542
5.3200000	0.8905593	0.1848787
5.3600000	0.8749422	0.1738504
5.4000000	0.8589459	0.1630528
5.4400000	0.8419895	0.1528532
5.4800000	0.8247674	0.1420294
5.5200000	0.8070668	0.1315996
5.5600000	0.7886421	0.1214314
5.6000000	0.7693175	0.1112167
5.6400000	0.7499681	0.1028725
5.6800000	0.7299036	0.0941947
5.7200000	0.7091897	0.0864510
5.7600000	0.6882670	0.0792559
5.8000000	0.6672987	0.0722004
5.8400000	0.6451598	0.0665301
5.8800000	0.6230724	0.0615415
5.9200000	0.6001398	0.0570827
5.9600000	0.5775783	0.0529207
6.0000000	0.5543100	0.0499355
6.0400000	0.5316814	0.0483990
6.0800000	0.5086475	0.0470825
6.1200000	0.4857479	0.0473701
